,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
701,Accident,1982-03-27,"ANCHORAGE, AK",United States,MERRILL FIELD,Fatal,Substantial,Cessna,310D,No,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Landing,1.0,Cessna 310D
711,Accident,1982-03-29,"ROCHESTER, MA",United States,Unknown,Fatal,Substantial,Piper,PA-32R,No,1.0,Reciprocating,Business,0.0,2.0,0.0,0.0,VMC,Cruise,2.0,Piper PA-32R
725,Accident,1982-03-31,MOCA,Unknown,LABADIE,Fatal,Substantial,Piper,PA-32R,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,UNK,Landing,1.0,Piper PA-32R
726,Accident,1982-04-01,"NEW ORLEANS, LA",United States,Unknown,Fatal,Destroyed,Cessna,A185E,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Takeoff,2.0,Cessna A185E
734,Incident,1982-04-02,"TALLAHASSEE, FL",United States,TALLAHASSEE MUNICIPAL,Incident,Minor,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Cruise,3.0,Piper PA-31-350
738,Incident,1982-04-02,"SAVANNAH, GA",United States,Unknown,Incident,Minor,Piper,PA-31P,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Cruise,2.0,Piper PA-31P
743,Accident,1982-04-02,"WADSWORTH, OH",United States,Unknown,Fatal,Substantial,Cessna,210N,No,1.0,Reciprocating,Executive/corporate,0.0,0.0,3.0,0.0,VMC,Descent,3.0,Cessna 210N
744,Accident,1982-04-03,"HOLLYWOOD, FL",United States,Unknown,Fatal,Destroyed,Piper,PA-18,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,1.0,Piper PA-18
745,Accident,1982-04-03,"NAPA, CA",United States,NAPA COUNTY,Fatal,Destroyed,Beech,D55,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,2.0,Beech D55
760,Incident,1982-04-05,"WAUKEGAN, IL",United States,WAUKEGAN HEMORIAL,Incident,Minor,Cessna,402B,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,IMC,Approach,3.0,Cessna 402B
762,Accident,1982-04-05,"BOSTIC, NC",United States,RUTHERFORD COUNTY,Fatal,Destroyed,Piper,PA-28-180,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Approach,1.0,Piper PA-28-180
763,Accident,1982-04-05,"BACONTON, GA",United States,Unknown,Fatal,Destroyed,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,3.0,2.0,0.0,IMC,Descent,5.0,Piper PA-31-350
765,Accident,1982-04-05,"MCSHERRYSTOWN, PA",United States,HANOVER,Fatal,Substantial,Piper,PA-44-180,No,1.0,Reciprocating,Business,0.0,1.0,1.0,0.0,VMC,Landing,2.0,Piper PA-44-180
767,Accident,1982-04-05,"LONGMONT, CO",United States,LONGMONT MUNICIPAL,Fatal,Substantial,Piper,PA-28R-201T,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1.0,Piper PA-28R-201T
768,Accident,1982-04-05,"FORT WAYNE, IN",United States,BAER FIELD,Fatal,Substantial,Swearingen,SA226TC,No,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,2.0,IMC,Landing,2.0,Swearingen SA226TC
772,Accident,1982-04-06,"SCANDIA, PA",United States,Unknown,Fatal,Destroyed,Beech,E55,No,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Climb,2.0,Beech E55
775,Accident,1982-04-06,"10 EAST OF TILL, OR",United States,Unknown,Fatal,Substantial,Cessna,177RG,No,1.0,Reciprocating,Ferry,0.0,1.0,0.0,0.0,VMC,Cruise,1.0,Cessna 177RG
778,Accident,1982-04-06,"FT. LAUDERDALE, FL",United States,Unknown,Fatal,Substantial,Cessna,421B,No,2.0,Reciprocating,Unknown,0.0,0.0,1.0,2.0,VMC,Approach,3.0,Cessna 421B
779,Accident,1982-04-06,"BAKERSFIELD, CA",United States,PRIVATE AIRSTRIP,Fatal,Substantial,Grumman,G-164,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Grumman G-164
781,Accident,1982-04-07,"PITTSBURGH, PA",United States,ALLEGHENY,Fatal,Substantial,Cessna,310,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Landing,2.0,Cessna 310
782,Accident,1982-04-07,"LINCOLN, NE",United States,LINCOLN MUNICIPAL,Fatal,Substantial,Cessna,340A,No,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,IMC,Landing,1.0,Cessna 340A
785,Accident,1982-04-07,"WINSTON-SALEM, NC",United States,SMITH REYNOLDS,Fatal,Substantial,Beech,65-A90,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,2.0,VMC,Landing,2.0,Beech 65-A90
786,Accident,1982-04-07,"EDNA, TX",United States,FLYING SERVICE INC.,Fatal,Substantial,Air Tractor,AT-400,No,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,1.0,Air Tractor AT-400
787,Accident,1982-04-08,"SPOKANE, WA",United States,Unknown,Fatal,Substantial,Piper,PA-28-181,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Cruise,2.0,Piper PA-28-181
793,Accident,1982-04-08,"BASIN CITY, WA",United States,Unknown,Fatal,Substantial,Piper,PA-25-235,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,1.0,Piper PA-25-235
802,Accident,1982-04-09,"NEAR NIGHTMUTE, AK",United States,Unknown,Fatal,Substantial,Cessna,206,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,IMC,Cruise,1.0,Cessna 206
803,Accident,1982-04-10,"LAKE HUGHES, CA",United States,Unknown,Fatal,Destroyed,Cessna,182M,No,1.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,UNK,Cruise,3.0,Cessna 182M
821,Accident,1982-04-11,"MONTAGUE ISLAND, AK",United States,Unknown,Fatal,Substantial,Piper,PA-32,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Takeoff,3.0,Piper PA-32
