,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
65340,Accident,2008-09-10,"Oakland, CA",United States,Unknown,Non-Fatal,Substantial,Cessna,T210N,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna T210N
65344,Accident,2008-09-11,"Talkeetna, AK",United States,Unknown,Fatal,Substantial,Piper,PA-18,No,1.0,Reciprocating,Other Work Use,1.0,0.0,1.0,0.0,VMC,Unknown,2.0,Piper PA-18
65381,Accident,2008-09-18,"Douglas, KS",United States,Unknown,Non-Fatal,Substantial,Cessna Aircraft Co,E162,No,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna Aircraft Co E162
65426,Accident,2008-09-27,"Vineyard Haven, MA",United States,Martha's Vineyard,Fatal,Destroyed,Cessna,402,No,2.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Cessna 402
65459,Accident,2008-10-02,"Anchorage, AK",United States,Unknown,Non-Fatal,Substantial,Piper,PA-18,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-18
65476,Accident,2008-10-06,"Oaxaca, Mexico",Mexico,Xoxocotlan International Airpo,Fatal,Destroyed,Cessna,421,No,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,Unknown,Unknown,2.0,Cessna 421
65541,Accident,2008-10-21,"Ciudad Victoria, Mexico",Mexico,Pedro J. Mendez Airport,Fatal,Destroyed,Cessna,310,No,2.0,Reciprocating,Business,5.0,0.0,0.0,0.0,Unknown,Unknown,5.0,Cessna 310
65575,Accident,2008-10-30,"Mesa, AZ",United States,Falcon Field,Non-Fatal,Substantial,Cessna,421C,No,2.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC,Unknown,5.0,Cessna 421C
65585,Accident,2008-11-02,"San Manuel, AZ",United States,San Manuel Airport,Non-Fatal,Substantial,Piper,PA-22-135,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-22-135
65620,Accident,2008-11-11,"Mena, AR",United States,Mena Intermountain,Fatal,Substantial,Cessna,177RG,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Cessna 177RG
